Company,Inches,ScreenResolution,Cpu_Company,Ram_in_GB,Memory,OpSys,Price,ScreenType,Gpu_Model,Cpu_Model,Memory_Type,Company_freq,Ram_in_GB_freq,Inches_freq,Memory_freq,Gpu_Company_orig,Gpu_Company_Amd,Gpu_Company_Arm,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_freq,ScreenType_Full HD ,ScreenType_IPS Panel ,ScreenType_IPS Panel Full HD ,ScreenType_IPS Panel Quad HD,ScreenType_IPS Panel Retina Display ,ScreenType_IPS Panel Touchscreen ,ScreenType_QHD ,ScreenType_Quad HD,ScreenType_Regular,ScreenType_Touchscreen ,Gpu_Model_freq,ScreenResolution_freq
HP,15.6,1920x1080,Intel,8,256GB,Windows 10,36763.2,Full HD ,HD Graphics 620,Core i5 7200U 2.5GHz,SSD,279,619,677,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Asus,15.6,1920x1080,Intel,16,512GB,Windows 10,105654.24,Full HD ,GeForce GTX 1050 Ti,Core i7 7700HQ 2.8GHz,SSD,160,216,677,145,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,27,809
HP,15.6,1366x768,Intel,4,500GB,Windows 10,23373.4,Regular,Radeon 520,Core i3 6006U 2GHz,HDD,279,375,677,132,Amd,1,0,0,0,1065,0,0,0,0,0,0,0,0,1,0,17,282
HP,14.0,1366x768,Intel,4,32GB,Windows 10,12201.12,Regular,HD Graphics 400,Celeron Dual Core N3060 1.6GHz,SSD,279,375,199,45,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,34,282
Lenovo,15.6,1920x1080,Intel,4,1TB,Windows 10,29250.72,Full HD ,HD Graphics 620,Core i5 7200U 2.5GHz,HDD,301,375,677,260,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Asus,17.3,1920x1080,Intel,12,1TB,Linux,50562.72,Full HD ,GeForce GTX 1050 Ti,Core i7 7700HQ 2.8GHz,HDD,160,25,171,260,Nvidia,0,0,0,1,62,1,0,0,0,0,0,0,0,0,0,27,809
Microsoft,13.5,2256x1504,Intel,4,128GB,Windows 10 S,58021.92,Touchscreen ,HD Graphics 620,Core i5 7200U 2.5GHz,SSD,6,375,6,177,Intel,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,270,6
Dell,13.3,1920x1080,Intel,8,256GB,Windows 10,50882.4,IPS Panel Full HD ,Radeon 530,Core i7 8550U 1.8GHz,SSD,301,619,164,508,Amd,1,0,0,0,1065,0,0,1,0,0,0,0,0,0,0,41,809
Dell,15.6,1920x1080,Intel,8,256GB,Windows 10,46353.6,Full HD ,Radeon 530,Core i7 8550U 1.8GHz,SSD,301,619,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,41,809
MSI,17.3,1920x1080,Intel,8,128GB,Windows 10,58341.6,Full HD ,GeForce GTX 1050,Core i5 7300HQ 2.5GHz,SSD +  1TB HDD,59,619,171,177,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,61,809
